trial	change	ndcg_at_5	recall_at_5	top1_rate	raw_report
baseline	Baseline k20, weight1.5	0.9069912191964322	0.96875	0.8125	2026-09-05-jina-accuracy-k1.json
k1	k1, weight1.5	0.9341496643973242	0.96875	0.875	2026-09-05-jina-accuracy-k1.json
k1w3	k1, weight3	0.9423327739955403	1.0	0.84375	2026-09-05-jina-accuracy-k1w3.json
definition	Add unique explicit definition priority	0.9653996643973242	1.0	0.90625	2026-09-05-jina-accuracy-definition.json
source	Add implementation intent test weight0.75	0.9769331095982161	1.0	0.9375	2026-09-05-jina-accuracy-source.json
source-w2	Reduce semantic weight to2; frozen candidate	0.988466554799108	1.0	0.96875	2026-09-05-jina-accuracy-source-w2.json
